Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR15101272_GSM5436974_transcripts_quant	89.1%	32.0			
SRR15101272_pass_1			57.5%	49%	35.8
SRR15101272_pass_2			53.9%	50%	35.8
SRR15101273_GSM5436974_transcripts_quant	89.1%	31.6			
SRR15101273_pass_1			57.4%	49%	35.5
SRR15101273_pass_2			53.6%	50%	35.5
SRR15101274_GSM5436975_transcripts_quant	91.8%	40.0			
SRR15101274_pass_1			59.7%	49%	43.6
SRR15101274_pass_2			56.0%	49%	43.6
SRR15101275_GSM5436975_transcripts_quant	91.8%	39.5			
SRR15101275_pass_1			59.7%	49%	43.1
SRR15101275_pass_2			55.9%	49%	43.1
SRR15101276_GSM5436976_transcripts_quant	88.6%	31.0			
SRR15101276_pass_1			55.9%	49%	35.0
SRR15101276_pass_2			52.3%	49%	35.0
SRR15101277_GSM5436976_transcripts_quant	88.5%	30.7			
SRR15101277_pass_1			55.9%	49%	34.7
SRR15101277_pass_2			52.6%	49%	34.7
SRR15101278_GSM5436977_transcripts_quant	92.7%	32.5			
SRR15101278_pass_1			57.2%	49%	35.1
SRR15101278_pass_2			53.0%	50%	35.1
SRR15101279_GSM5436977_transcripts_quant	92.6%	32.2			
SRR15101279_pass_1			57.5%	49%	34.8
SRR15101279_pass_2			53.1%	50%	34.8
SRR15101280_GSM5436978_transcripts_quant	87.4%	27.1			
SRR15101280_pass_1			56.5%	50%	31.1
SRR15101280_pass_2			53.8%	51%	31.1
SRR15101281_GSM5436978_transcripts_quant	87.3%	26.9			
SRR15101281_pass_1			56.6%	50%	30.8
SRR15101281_pass_2			54.0%	51%	30.8
SRR15101282_GSM5436979_transcripts_quant	91.5%	35.3			
SRR15101282_pass_1			57.6%	48%	38.6
SRR15101282_pass_2			54.2%	49%	38.6
SRR15101283_GSM5436979_transcripts_quant	91.5%	34.9			
SRR15101283_pass_1			57.3%	48%	38.1
SRR15101283_pass_2			53.9%	49%	38.1
SRR15101284_GSM5436980_transcripts_quant	89.2%	32.2			
SRR15101284_pass_1			54.6%	49%	36.1
SRR15101284_pass_2			51.4%	50%	36.1
SRR15101285_GSM5436980_transcripts_quant	89.1%	31.8			
SRR15101285_pass_1			54.5%	49%	35.7
SRR15101285_pass_2			51.3%	50%	35.7
SRR15101286_GSM5436981_transcripts_quant	91.1%	34.1			
SRR15101286_pass_1			57.4%	48%	37.4
SRR15101286_pass_2			53.0%	49%	37.4
SRR15101287_GSM5436981_transcripts_quant	91.1%	33.6			
SRR15101287_pass_1			57.2%	48%	36.9
SRR15101287_pass_2			52.9%	49%	36.9
SRR15101288_GSM5436982_transcripts_quant	88.9%	29.7			
SRR15101288_pass_1			55.1%	48%	33.4
SRR15101288_pass_2			50.6%	49%	33.4
SRR15101289_GSM5436982_transcripts_quant	88.8%	29.4			
SRR15101289_pass_1			55.0%	48%	33.1
SRR15101289_pass_2			50.4%	49%	33.1
SRR15101290_GSM5436983_transcripts_quant	89.8%	15.2			
SRR15101290_pass_1			54.5%	49%	17.0
SRR15101290_pass_2			51.4%	50%	17.0
SRR15101291_GSM5436983_transcripts_quant	89.7%	15.1			
SRR15101291_pass_1			55.5%	49%	16.8
SRR15101291_pass_2			52.5%	50%	16.8
SRR15101292_GSM5436984_transcripts_quant	87.1%	29.6			
SRR15101292_pass_1			56.3%	50%	34.0
SRR15101292_pass_2			52.4%	50%	34.0
SRR15101293_GSM5436984_transcripts_quant	87.0%	29.2			
SRR15101293_pass_1			56.3%	50%	33.6
SRR15101293_pass_2			52.7%	50%	33.6
SRR15101294_GSM5436985_transcripts_quant	91.4%	23.0			
SRR15101294_pass_1			60.2%	48%	25.1
SRR15101294_pass_2			56.1%	48%	25.1
SRR15101295_GSM5436985_transcripts_quant	91.4%	22.8			
SRR15101295_pass_1			60.4%	48%	24.9
SRR15101295_pass_2			56.6%	48%	24.9
SRR15101296_GSM5436986_transcripts_quant	89.8%	31.4			
SRR15101296_pass_1			56.4%	47%	35.0
SRR15101296_pass_2			51.8%	48%	35.0
SRR15101297_GSM5436986_transcripts_quant	89.7%	31.1			
SRR15101297_pass_1			56.4%	47%	34.6
SRR15101297_pass_2			51.7%	48%	34.6
SRR15101298_GSM5436987_transcripts_quant	88.1%	16.8			
SRR15101298_pass_1			57.9%	50%	19.1
SRR15101298_pass_2			53.9%	50%	19.1
SRR15101299_GSM5436987_transcripts_quant	88.0%	16.7			
SRR15101299_pass_1			58.6%	50%	18.9
SRR15101299_pass_2			54.9%	50%	18.9
SRR15101300_GSM5436988_transcripts_quant	62.7%	22.1			
SRR15101300_pass_1			61.7%	50%	35.3
SRR15101300_pass_2			58.7%	51%	35.3
SRR15101301_GSM5436988_transcripts_quant	62.7%	21.9			
SRR15101301_pass_1			61.7%	50%	34.9
SRR15101301_pass_2			59.0%	51%	34.9
