Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR12007821_GSM4614985_transcripts_quant	79.9%	8.5			
SRR12007821_pass			40.2%	51%	10.7
SRR12007822_GSM4614985_transcripts_quant	79.9%	8.7			
SRR12007822_pass			36.6%	51%	10.9
SRR12007823_GSM4614986_transcripts_quant	75.3%	8.1			
SRR12007823_pass			40.9%	50%	10.8
SRR12007824_GSM4614986_transcripts_quant	75.3%	8.2			
SRR12007824_pass			36.9%	50%	10.9
SRR12007825_GSM4614987_transcripts_quant	78.3%	7.8			
SRR12007825_pass			39.7%	52%	9.9
SRR12007826_GSM4614987_transcripts_quant	78.3%	7.9			
SRR12007826_pass			35.6%	52%	10.1
SRR12007827_GSM4614988_transcripts_quant	80.8%	10.8			
SRR12007827_pass			44.4%	51%	13.4
SRR12007828_GSM4614988_transcripts_quant	80.8%	11.1			
SRR12007828_pass			40.3%	51%	13.7
SRR12007829_GSM4614989_transcripts_quant	83.1%	7.9			
SRR12007829_pass			41.7%	52%	9.5
SRR12007830_GSM4614989_transcripts_quant	83.1%	8.0			
SRR12007830_pass			38.4%	52%	9.6
SRR12007831_GSM4614990_transcripts_quant	80.5%	7.7			
SRR12007831_pass			40.1%	51%	9.5
SRR12007832_GSM4614990_transcripts_quant	80.5%	7.8			
SRR12007832_pass			36.9%	51%	9.6
SRR12007833_GSM4614991_transcripts_quant	77.8%	7.5			
SRR12007833_pass			43.9%	52%	9.7
SRR12007834_GSM4614991_transcripts_quant	77.8%	7.7			
SRR12007834_pass			40.4%	52%	9.9
SRR12007835_GSM4614992_transcripts_quant	79.8%	8.1			
SRR12007835_pass			39.2%	51%	10.1
SRR12007836_GSM4614992_transcripts_quant	79.8%	8.2			
SRR12007836_pass			35.0%	51%	10.3
SRR12007837_GSM4614993_transcripts_quant	78.2%	10.3			
SRR12007837_pass			49.6%	52%	13.2
SRR12007838_GSM4614993_transcripts_quant	78.2%	10.5			
SRR12007838_pass			45.5%	52%	13.5
SRR12007839_GSM4614994_transcripts_quant	83.0%	8.9			
SRR12007839_pass			42.2%	52%	10.7
SRR12007840_GSM4614994_transcripts_quant	83.0%	9.1			
SRR12007840_pass			37.5%	52%	10.9
SRR12007841_GSM4614995_transcripts_quant	75.7%	9.9			
SRR12007841_pass			42.9%	51%	13.1
SRR12007842_GSM4614995_transcripts_quant	75.8%	10.1			
SRR12007842_pass			38.7%	51%	13.4
SRR12007843_GSM4614996_transcripts_quant	71.1%	7.8			
SRR12007843_pass			38.0%	51%	11.0
SRR12007844_GSM4614996_transcripts_quant	71.2%	8.0			
SRR12007844_pass			34.1%	51%	11.2
SRR12007845_GSM4614997_transcripts_quant	78.1%	7.8			
SRR12007845_pass			41.2%	50%	10.0
SRR12007846_GSM4614997_transcripts_quant	78.2%	8.0			
SRR12007846_pass			37.1%	50%	10.2
SRR12007847_GSM4614998_transcripts_quant	77.1%	9.3			
SRR12007847_pass			44.0%	51%	12.1
SRR12007848_GSM4614998_transcripts_quant	77.1%	9.5			
SRR12007848_pass			39.3%	51%	12.3
SRR12007849_GSM4614999_transcripts_quant	77.7%	9.9			
SRR12007849_pass			41.2%	50%	12.8
SRR12007850_GSM4614999_transcripts_quant	77.7%	10.1			
SRR12007850_pass			37.0%	50%	13.0
SRR12007851_GSM4615000_transcripts_quant	77.2%	8.0			
SRR12007851_pass			36.7%	52%	10.3
SRR12007852_GSM4615000_transcripts_quant	77.3%	8.2			
SRR12007852_pass			32.8%	52%	10.6
SRR12007853_GSM4615001_transcripts_quant	75.3%	8.0			
SRR12007853_pass			39.6%	51%	10.6
SRR12007854_GSM4615001_transcripts_quant	75.3%	8.1			
SRR12007854_pass			35.8%	51%	10.8
SRR12007855_GSM4615003_transcripts_quant	82.4%	9.6			
SRR12007855_pass			40.5%	52%	11.6
SRR12007856_GSM4615003_transcripts_quant	82.4%	9.8			
SRR12007856_pass			36.9%	52%	11.9
SRR12007857_GSM4615006_transcripts_quant	81.5%	9.9			
SRR12007857_pass			40.9%	52%	12.1
SRR12007858_GSM4615006_transcripts_quant	81.6%	10.1			
SRR12007858_pass			36.5%	52%	12.4
