Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR19538352_GSM6212891_transcripts_quant	58.5%	30.3			
SRR19538352_pass_1			82.4%	49%	51.7
SRR19538352_pass_2			76.0%	49%	51.7
SRR19538353_GSM6212892_transcripts_quant	50.9%	25.8			
SRR19538353_pass_1			74.6%	49%	50.6
SRR19538353_pass_2			70.8%	49%	50.6
SRR19538354_GSM6212893_transcripts_quant	47.3%	20.1			
SRR19538354_pass_1			70.1%	48%	42.4
SRR19538354_pass_2			66.4%	48%	42.4
SRR19538355_GSM6212894_transcripts_quant	42.9%	15.7			
SRR19538355_pass_1			65.8%	50%	36.6
SRR19538355_pass_2			63.0%	50%	36.6
SRR19538356_GSM6212895_transcripts_quant	52.2%	22.6			
SRR19538356_pass_1			86.6%	49%	43.3
SRR19538356_pass_2			83.3%	48%	43.3
SRR19538357_GSM6212896_transcripts_quant	53.4%	27.6			
SRR19538357_pass_1			90.1%	49%	51.8
SRR19538357_pass_2			87.7%	49%	51.8
SRR19538358_GSM6212897_transcripts_quant	46.6%	28.5			
SRR19538358_pass_1			71.8%	50%	61.1
SRR19538358_pass_2			69.0%	50%	61.1
SRR19538359_GSM6212898_transcripts_quant	49.9%	38.9			
SRR19538359_pass_1			72.7%	49%	77.9
SRR19538359_pass_2			70.1%	50%	77.9
SRR19538360_GSM6212899_transcripts_quant	51.7%	24.8			
SRR19538360_pass_1			68.6%	49%	48.0
SRR19538360_pass_2			65.6%	49%	48.0
SRR19538361_GSM6212900_transcripts_quant	39.6%	19.0			
SRR19538361_pass_1			69.3%	51%	47.9
SRR19538361_pass_2			66.5%	50%	47.9
SRR19538362_GSM6212901_transcripts_quant	33.0%	15.6			
SRR19538362_pass_1			72.1%	52%	47.3
SRR19538362_pass_2			69.8%	52%	47.3
SRR19538363_GSM6212902_transcripts_quant	38.5%	18.1			
SRR19538363_pass_1			72.3%	51%	47.0
SRR19538363_pass_2			70.3%	51%	47.0
