Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR22002247_GSM6665963_transcripts_quant	75.3%	42.2			
SRR22002247_pass_1			58.7%	50%	56.1
SRR22002247_pass_2			57.8%	51%	56.1
SRR22002248_GSM6665962_transcripts_quant	79.9%	41.4			
SRR22002248_pass_1			60.1%	51%	51.8
SRR22002248_pass_2			59.8%	51%	51.8
SRR22002249_GSM6665961_transcripts_quant	75.9%	39.8			
SRR22002249_pass_1			59.4%	50%	52.5
SRR22002249_pass_2			59.0%	50%	52.5
SRR22002250_GSM6665960_transcripts_quant	67.5%	36.9			
SRR22002250_pass_1			52.5%	49%	54.7
SRR22002250_pass_2			51.9%	50%	54.7
SRR22002251_GSM6665959_transcripts_quant	74.7%	40.3			
SRR22002251_pass_1			62.0%	53%	54.0
SRR22002251_pass_2			61.9%	53%	54.0
SRR22002252_GSM6665958_transcripts_quant	64.1%	33.3			
SRR22002252_pass_1			49.7%	48%	51.9
SRR22002252_pass_2			48.2%	49%	51.9
SRR22002253_GSM6665957_transcripts_quant	84.1%	44.1			
SRR22002253_pass_1			66.7%	51%	52.4
SRR22002253_pass_2			66.1%	52%	52.4
SRR22002254_GSM6665956_transcripts_quant	75.6%	38.0			
SRR22002254_pass_1			58.9%	49%	50.3
SRR22002254_pass_2			58.5%	50%	50.3
SRR22002255_GSM6665955_transcripts_quant	61.6%	32.4			
SRR22002255_pass_1			51.0%	49%	52.5
SRR22002255_pass_2			50.0%	49%	52.5
SRR22002256_GSM6665954_transcripts_quant	80.6%	44.0			
SRR22002256_pass_1			61.2%	50%	54.7
SRR22002256_pass_2			60.6%	50%	54.7
SRR22002257_GSM6665953_transcripts_quant	78.7%	41.1			
SRR22002257_pass_1			61.8%	50%	52.2
SRR22002257_pass_2			61.5%	50%	52.2
SRR22002258_GSM6665952_transcripts_quant	65.1%	34.0			
SRR22002258_pass_1			52.6%	49%	52.2
SRR22002258_pass_2			51.7%	49%	52.2
SRR22002259_GSM6665951_transcripts_quant	73.5%	38.5			
SRR22002259_pass_1			56.3%	49%	52.4
SRR22002259_pass_2			55.3%	49%	52.4
SRR22002260_GSM6665950_transcripts_quant	79.6%	42.5			
SRR22002260_pass_1			59.7%	50%	53.4
SRR22002260_pass_2			59.5%	51%	53.4
SRR22002261_GSM6665949_transcripts_quant	54.7%	28.8			
SRR22002261_pass_1			46.4%	48%	52.7
SRR22002261_pass_2			45.2%	48%	52.7
SRR22002262_GSM6665948_transcripts_quant	80.1%	42.2			
SRR22002262_pass_1			61.2%	50%	52.6
SRR22002262_pass_2			60.8%	50%	52.6
SRR22002263_GSM6665947_transcripts_quant	74.7%	39.1			
SRR22002263_pass_1			59.0%	49%	52.3
SRR22002263_pass_2			57.5%	50%	52.3
SRR22002264_GSM6665946_transcripts_quant	77.7%	40.6			
SRR22002264_pass_1			61.9%	51%	52.3
SRR22002264_pass_2			61.4%	51%	52.3
SRR22002265_GSM6665945_transcripts_quant	59.8%	32.4			
SRR22002265_pass_1			47.5%	49%	54.1
SRR22002265_pass_2			45.9%	49%	54.1
SRR22002266_GSM6665944_transcripts_quant	77.1%	44.1			
SRR22002266_pass_1			62.3%	50%	57.2
SRR22002266_pass_2			62.4%	50%	57.2
SRR22002267_GSM6665943_transcripts_quant	74.8%	43.5			
SRR22002267_pass_1			60.7%	49%	58.2
SRR22002267_pass_2			60.4%	50%	58.2
SRR22002268_GSM6665942_transcripts_quant	76.2%	47.6			
SRR22002268_pass_1			62.6%	50%	62.4
SRR22002268_pass_2			62.4%	50%	62.4
SRR22002269_GSM6665941_transcripts_quant	57.2%	32.1			
SRR22002269_pass_1			50.5%	49%	56.0
SRR22002269_pass_2			49.4%	49%	56.0
SRR22002270_GSM6665940_transcripts_quant	63.6%	32.0			
SRR22002270_pass_1			52.4%	49%	50.2
SRR22002270_pass_2			50.8%	50%	50.2
SRR22002271_GSM6665939_transcripts_quant	72.2%	37.7			
SRR22002271_pass_1			58.4%	51%	52.2
SRR22002271_pass_2			58.1%	51%	52.2
SRR22002272_GSM6665938_transcripts_quant	61.6%	40.6			
SRR22002272_pass_1			55.6%	49%	65.9
SRR22002272_pass_2			54.7%	49%	65.9
SRR22002273_GSM6665937_transcripts_quant	73.8%	48.4			
SRR22002273_pass_1			60.9%	49%	65.5
SRR22002273_pass_2			60.8%	50%	65.5
SRR22002274_GSM6665936_transcripts_quant	82.3%	59.0			
SRR22002274_pass_1			68.5%	50%	71.7
SRR22002274_pass_2			68.4%	50%	71.7
SRR22002275_GSM6665935_transcripts_quant	74.2%	47.4			
SRR22002275_pass_1			60.0%	49%	63.9
SRR22002275_pass_2			59.6%	50%	63.9
SRR22002276_GSM6665934_transcripts_quant	72.6%	49.9			
SRR22002276_pass_1			60.6%	49%	68.8
SRR22002276_pass_2			60.6%	50%	68.8
SRR22002277_GSM6665933_transcripts_quant	70.7%	47.7			
