Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR2015713_GSM1679648_transcripts_quant	86.3%	51.9			
SRR2015713_pass_1			62.0%	48%	60.1
SRR2015713_pass_2			60.6%	48%	60.1
SRR2015714_GSM1679649_transcripts_quant	78.5%	15.1			
SRR2015714_pass_1			45.9%	49%	19.2
SRR2015714_pass_2			43.7%	49%	19.2
SRR2015715_GSM1679650_transcripts_quant	86.2%	32.7			
SRR2015715_pass_1			49.6%	49%	37.9
SRR2015715_pass_2			48.9%	49%	37.9
SRR2015716_GSM1679651_transcripts_quant	87.3%	65.8			
SRR2015716_pass_1			57.1%	49%	75.3
SRR2015716_pass_2			56.3%	49%	75.3
SRR2015717_GSM1679652_transcripts_quant	84.1%	26.8			
SRR2015717_pass_1			47.8%	49%	31.8
SRR2015717_pass_2			47.4%	49%	31.8
SRR2015718_GSM1679653_transcripts_quant	86.6%	28.6			
SRR2015718_pass_1			48.0%	49%	33.1
SRR2015718_pass_2			47.1%	49%	33.1
SRR2015719_GSM1679654_transcripts_quant	84.0%	29.1			
SRR2015719_pass_1			54.0%	49%	34.6
SRR2015719_pass_2			53.0%	49%	34.6
SRR2015720_GSM1679655_transcripts_quant	85.8%	26.0			
SRR2015720_pass_1			53.4%	48%	30.3
SRR2015720_pass_2			52.8%	48%	30.3
SRR2015721_GSM1679656_transcripts_quant	87.4%	40.9			
SRR2015721_pass_1			58.4%	49%	46.9
SRR2015721_pass_2			57.6%	49%	46.9
SRR2015722_GSM1679657_transcripts_quant	85.7%	50.7			
SRR2015722_pass_1			50.2%	49%	59.2
SRR2015722_pass_2			49.2%	49%	59.2
SRR2015723_GSM1679658_transcripts_quant	87.4%	39.1			
SRR2015723_pass_1			50.5%	49%	44.7
SRR2015723_pass_2			49.5%	49%	44.7
SRR2015724_GSM1679659_transcripts_quant	84.4%	25.3			
SRR2015724_pass_1			51.0%	49%	30.0
SRR2015724_pass_2			49.5%	49%	30.0
SRR2015725_GSM1679660_transcripts_quant	85.0%	52.6			
SRR2015725_pass_1			53.7%	48%	61.9
SRR2015725_pass_2			52.7%	48%	61.9
SRR2015726_GSM1679661_transcripts_quant	86.0%	29.1			
SRR2015726_pass_1			50.3%	49%	33.9
SRR2015726_pass_2			49.0%	49%	33.9
SRR2015727_GSM1679662_transcripts_quant	86.3%	31.2			
SRR2015727_pass_1			46.0%	49%	36.1
SRR2015727_pass_2			45.3%	49%	36.1
SRR2015728_GSM1679663_transcripts_quant	79.7%	34.3			
SRR2015728_pass_1			40.1%	48%	43.0
SRR2015728_pass_2			39.2%	48%	43.0
SRR2015729_GSM1679664_transcripts_quant	86.3%	46.8			
SRR2015729_pass_1			56.8%	49%	54.2
SRR2015729_pass_2			56.0%	49%	54.2
SRR2015730_GSM1679665_transcripts_quant	88.7%	37.1			
SRR2015730_pass_1			56.4%	49%	41.8
SRR2015730_pass_2			55.9%	49%	41.8
SRR2015731_GSM1679666_transcripts_quant	86.6%	27.5			
SRR2015731_pass_1			49.2%	49%	31.7
SRR2015731_pass_2			48.4%	49%	31.7
SRR2015732_GSM1679667_transcripts_quant	87.5%	32.0			
SRR2015732_pass_1			61.4%	49%	36.6
SRR2015732_pass_2			60.0%	49%	36.6
SRR2015733_GSM1679668_transcripts_quant	78.2%	37.0			
SRR2015733_pass_1			77.0%	49%	47.2
SRR2015733_pass_2			73.5%	49%	47.2
SRR2015734_GSM1679669_transcripts_quant	84.9%	26.7			
SRR2015734_pass_1			51.0%	49%	31.5
SRR2015734_pass_2			50.0%	49%	31.5
SRR2015735_GSM1679670_transcripts_quant	87.1%	24.3			
SRR2015735_pass_1			46.0%	49%	27.9
SRR2015735_pass_2			45.5%	49%	27.9
SRR2015736_GSM1679671_transcripts_quant	82.7%	30.0			
SRR2015736_pass_1			64.1%	49%	36.3
SRR2015736_pass_2			62.4%	49%	36.3
SRR2015737_GSM1679672_transcripts_quant	86.9%	27.8			
SRR2015737_pass_1			60.9%	48%	32.0
SRR2015737_pass_2			59.7%	48%	32.0
SRR2015738_GSM1679673_transcripts_quant	87.9%	32.2			
SRR2015738_pass_1			80.8%	46%	36.6
SRR2015738_pass_2			78.6%	46%	36.6
SRR2015739_GSM1679674_transcripts_quant	84.6%	30.0			
SRR2015739_pass_1			57.5%	46%	35.5
SRR2015739_pass_2			55.7%	46%	35.5
SRR2015740_GSM1679675_transcripts_quant	88.4%	27.5			
SRR2015740_pass_1			60.4%	47%	31.2
SRR2015740_pass_2			59.1%	47%	31.2
SRR2015741_GSM1679676_transcripts_quant	85.7%	26.1			
SRR2015741_pass_1			60.7%	46%	30.5
SRR2015741_pass_2			58.0%	46%	30.5
SRR2015742_GSM1679677_transcripts_quant	85.9%	32.2			
SRR2015742_pass_1			73.0%	46%	37.4
SRR2015742_pass_2			71.2%	46%	37.4
SRR2015743_GSM1679678_transcripts_quant	86.9%	37.1			
SRR2015743_pass_1			52.5%	46%	42.7
SRR2015743_pass_2			51.6%	46%	42.7
SRR2015744_GSM1679679_transcripts_quant	86.6%	72.3			
SRR2015744_pass_1			76.6%	46%	83.5
SRR2015744_pass_2			72.6%	46%	83.5
SRR2015745_GSM1679680_transcripts_quant	82.5%	42.9			
SRR2015745_pass_1			81.2%	45%	52.0
SRR2015745_pass_2			76.4%	45%	52.0
SRR2015746_GSM1679681_transcripts_quant	85.8%	40.9			
SRR2015746_pass_1			71.4%	45%	47.7
SRR2015746_pass_2			67.9%	45%	47.7
SRR2015747_GSM1679682_transcripts_quant	84.5%	35.4			
SRR2015747_pass_1			56.0%	46%	41.9
SRR2015747_pass_2			55.4%	46%	41.9
SRR2015748_GSM1679683_transcripts_quant	83.0%	48.0			
SRR2015748_pass_1			72.8%	45%	57.9
SRR2015748_pass_2			67.8%	45%	57.9
SRR2015749_GSM1679684_transcripts_quant	83.3%	53.5			
SRR2015749_pass_1			78.9%	45%	64.2
SRR2015749_pass_2			71.3%	45%	64.2
SRR2015750_GSM1679685_transcripts_quant	87.5%	63.5			
SRR2015750_pass_1			79.4%	47%	72.5
SRR2015750_pass_2			74.8%	47%	72.5
SRR2015751_GSM1679686_transcripts_quant	85.4%	42.7			
SRR2015751_pass_1			66.6%	46%	50.0
SRR2015751_pass_2			64.6%	46%	50.0
SRR2015752_GSM1679687_transcripts_quant	90.0%	38.6			
SRR2015752_pass_1			54.3%	46%	42.9
SRR2015752_pass_2			53.4%	46%	42.9
SRR2015753_GSM1679688_transcripts_quant	86.8%	36.0			
SRR2015753_pass_1			56.3%	45%	41.5
SRR2015753_pass_2			55.2%	45%	41.5
SRR2015754_GSM1679689_transcripts_quant	89.9%	55.3			
SRR2015754_pass_1			70.5%	46%	61.6
SRR2015754_pass_2			68.0%	46%	61.6
SRR2015755_GSM1679690_transcripts_quant	89.1%	35.9			
SRR2015755_pass_1			58.9%	46%	40.3
SRR2015755_pass_2			57.9%	46%	40.3
SRR2015756_GSM1679691_transcripts_quant	87.6%	33.8			
SRR2015756_pass_1			53.2%	46%	38.6
SRR2015756_pass_2			52.7%	46%	38.6
SRR2015757_GSM1679692_transcripts_quant	86.2%	26.5			
SRR2015757_pass_1			57.6%	49%	30.7
SRR2015757_pass_2			57.1%	49%	30.7
SRR2015758_GSM1679693_transcripts_quant	77.9%	31.7			
SRR2015758_pass_1			63.1%	49%	40.6
SRR2015758_pass_2			62.2%	49%	40.6
SRR2015759_GSM1679694_transcripts_quant	88.8%	34.1			
SRR2015759_pass_1			52.9%	47%	38.4
SRR2015759_pass_2			52.4%	47%	38.4
SRR2015760_GSM1679695_transcripts_quant	85.8%	30.4			
SRR2015760_pass_1			49.3%	49%	35.4
SRR2015760_pass_2			47.8%	49%	35.4
SRR2015761_GSM1679696_transcripts_quant	87.3%	31.5			
SRR2015761_pass_1			51.3%	49%	36.1
SRR2015761_pass_2			50.9%	49%	36.1
SRR2015762_GSM1679697_transcripts_quant	83.2%	26.7			
SRR2015762_pass_1			58.0%	49%	32.1
SRR2015762_pass_2			56.3%	49%	32.1
SRR2015763_GSM1679698_transcripts_quant	86.3%	45.4			
SRR2015763_pass_1			52.5%	50%	52.6
SRR2015763_pass_2			51.6%	50%	52.6
SRR2015764_GSM1679699_transcripts_quant	87.1%	47.1			
SRR2015764_pass_1			63.4%	48%	54.1
SRR2015764_pass_2			61.9%	48%	54.1
SRR2015765_GSM1679700_transcripts_quant	84.5%	25.8			
SRR2015765_pass_1			47.3%	49%	30.5
SRR2015765_pass_2			46.8%	49%	30.5
SRR2015766_GSM1679701_transcripts_quant	86.2%	30.9			
SRR2015766_pass_1			46.7%	50%	35.9
SRR2015766_pass_2			46.3%	50%	35.9
SRR2015767_GSM1679702_transcripts_quant	84.5%	20.6			
SRR2015767_pass_1			45.3%	49%	24.4
SRR2015767_pass_2			44.2%	49%	24.4
SRR2015768_GSM1679703_transcripts_quant	85.4%	30.4			
SRR2015768_pass_1			57.4%	48%	35.6
SRR2015768_pass_2			56.4%	48%	35.6
SRR2015769_GSM1679704_transcripts_quant	86.8%	39.3			
SRR2015769_pass_1			55.5%	49%	45.3
SRR2015769_pass_2			54.5%	49%	45.3
SRR2015770_GSM1679705_transcripts_quant	86.7%	31.9			
SRR2015770_pass_1			60.7%	48%	36.8
SRR2015770_pass_2			59.8%	48%	36.8
SRR2015771_GSM1679706_transcripts_quant	86.9%	42.3			
SRR2015771_pass_1			53.2%	49%	48.7
SRR2015771_pass_2			51.6%	49%	48.7
SRR2015772_GSM1679707_transcripts_quant	86.0%	28.7			
SRR2015772_pass_1			55.8%	49%	33.4
SRR2015772_pass_2			54.7%	49%	33.4
SRR2015773_GSM1679708_transcripts_quant	86.5%	24.5			
SRR2015773_pass_1			52.7%	49%	28.4
