Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR5305477_GSM2516806_transcripts_quant	84.9%	32.6			
SRR5305477_pass_1			54.6%	47%	38.4
SRR5305477_pass_2			52.8%	47%	38.4
SRR5305478_GSM2516807_transcripts_quant	86.1%	30.3			
SRR5305478_pass_1			56.7%	44%	35.2
SRR5305478_pass_2			53.5%	44%	35.2
SRR5305479_GSM2516808_transcripts_quant	87.2%	28.4			
SRR5305479_pass_1			79.5%	44%	32.5
SRR5305479_pass_2			77.7%	45%	32.5
SRR5305480_GSM2516809_transcripts_quant	88.2%	27.8			
SRR5305480_pass_1			60.7%	45%	31.5
SRR5305480_pass_2			57.2%	45%	31.5
SRR5305481_GSM2516810_transcripts_quant	88.9%	30.4			
SRR5305481_pass_1			74.5%	45%	34.2
SRR5305481_pass_2			72.3%	45%	34.2
SRR5305482_GSM2516811_transcripts_quant	85.2%	23.4			
SRR5305482_pass_1			52.3%	46%	27.5
SRR5305482_pass_2			50.2%	46%	27.5
SRR5305483_GSM2516812_transcripts_quant	92.6%	25.6			
SRR5305483_pass_1			79.7%	45%	27.7
SRR5305483_pass_2			78.1%	45%	27.7
SRR5305484_GSM2516813_transcripts_quant	85.1%	30.0			
SRR5305484_pass_1			75.5%	44%	35.3
SRR5305484_pass_2			72.4%	45%	35.3
SRR5305485_GSM2516814_transcripts_quant	85.5%	21.8			
SRR5305485_pass_1			80.8%	45%	25.5
SRR5305485_pass_2			79.5%	45%	25.5
SRR5305486_GSM2516815_transcripts_quant	86.9%	33.6			
SRR5305486_pass_1			65.5%	46%	38.7
SRR5305486_pass_2			62.1%	46%	38.7
SRR5305487_GSM2516816_transcripts_quant	87.1%	31.8			
SRR5305487_pass_1			59.5%	47%	36.5
SRR5305487_pass_2			57.5%	47%	36.5
SRR5305488_GSM2516817_transcripts_quant	86.2%	33.7			
SRR5305488_pass_1			66.3%	42%	39.1
SRR5305488_pass_2			64.3%	42%	39.1
SRR5305489_GSM2516818_transcripts_quant	83.6%	37.5			
SRR5305489_pass_1			54.1%	46%	44.9
SRR5305489_pass_2			51.2%	46%	44.9
SRR5305490_GSM2516819_transcripts_quant	86.6%	29.7			
SRR5305490_pass_1			77.5%	42%	34.3
SRR5305490_pass_2			75.0%	42%	34.3
SRR5305491_GSM2516820_transcripts_quant	88.2%	31.9			
SRR5305491_pass_1			75.1%	46%	36.2
SRR5305491_pass_2			74.0%	46%	36.2
SRR5305492_GSM2516821_transcripts_quant	85.2%	20.2			
SRR5305492_pass_1			40.6%	47%	23.6
SRR5305492_pass_2			38.7%	47%	23.6
SRR5305493_GSM2516822_transcripts_quant	84.2%	33.5			
SRR5305493_pass_1			51.2%	46%	39.8
SRR5305493_pass_2			48.1%	46%	39.8
SRR5305494_GSM2516823_transcripts_quant	85.8%	28.1			
SRR5305494_pass_1			79.7%	43%	32.8
SRR5305494_pass_2			77.7%	43%	32.8
SRR5305495_GSM2516824_transcripts_quant	86.9%	26.8			
SRR5305495_pass_1			58.3%	46%	30.9
SRR5305495_pass_2			55.2%	46%	30.9
SRR5305496_GSM2516825_transcripts_quant	86.6%	35.1			
SRR5305496_pass_1			66.4%	44%	40.5
SRR5305496_pass_2			64.7%	44%	40.5
SRR5305497_GSM2516826_transcripts_quant	87.3%	36.2			
SRR5305497_pass_1			70.1%	44%	41.5
SRR5305497_pass_2			67.8%	45%	41.5
SRR5305498_GSM2516827_transcripts_quant	86.9%	37.4			
SRR5305498_pass_1			74.4%	45%	43.0
SRR5305498_pass_2			71.3%	45%	43.0
SRR5305499_GSM2516828_transcripts_quant	84.6%	34.3			
SRR5305499_pass_1			50.0%	46%	40.5
SRR5305499_pass_2			48.2%	46%	40.5
SRR5305500_GSM2516829_transcripts_quant	85.2%	30.2			
SRR5305500_pass_1			60.9%	44%	35.4
SRR5305500_pass_2			58.4%	44%	35.4
SRR5305501_GSM2516830_transcripts_quant	84.8%	26.3			
SRR5305501_pass_1			62.1%	44%	31.0
SRR5305501_pass_2			58.5%	44%	31.0
SRR5305502_GSM2516831_transcripts_quant	87.6%	34.8			
SRR5305502_pass_1			69.1%	46%	39.7
SRR5305502_pass_2			66.9%	46%	39.7
SRR5305503_GSM2516832_transcripts_quant	85.7%	26.5			
SRR5305503_pass_1			56.7%	45%	30.9
SRR5305503_pass_2			54.1%	45%	30.9
SRR5305504_GSM2516833_transcripts_quant	88.7%	36.0			
SRR5305504_pass_1			74.3%	45%	40.6
SRR5305504_pass_2			72.6%	45%	40.6
SRR5305505_GSM2516834_transcripts_quant	88.4%	36.9			
SRR5305505_pass_1			73.2%	45%	41.8
SRR5305505_pass_2			70.7%	45%	41.8
SRR5305506_GSM2516835_transcripts_quant	86.4%	36.4			
SRR5305506_pass_1			63.1%	44%	42.1
SRR5305506_pass_2			60.8%	44%	42.1
SRR5305507_GSM2516836_transcripts_quant	89.3%	29.0			
SRR5305507_pass_1			73.5%	44%	32.4
SRR5305507_pass_2			71.1%	44%	32.4
SRR5305508_GSM2516837_transcripts_quant	84.6%	30.4			
SRR5305508_pass_1			46.2%	46%	35.9
SRR5305508_pass_2			44.9%	46%	35.9
SRR5305509_GSM2516838_transcripts_quant	87.8%	36.8			
SRR5305509_pass_1			55.0%	47%	41.9
SRR5305509_pass_2			52.9%	47%	41.9
SRR5305510_GSM2516839_transcripts_quant	86.7%	26.9			
SRR5305510_pass_1			60.9%	47%	31.1
SRR5305510_pass_2			58.6%	47%	31.1
SRR5305511_GSM2516840_transcripts_quant	86.8%	33.7			
SRR5305511_pass_1			62.8%	45%	38.9
SRR5305511_pass_2			59.8%	45%	38.9
SRR5305512_GSM2516841_transcripts_quant	88.4%	31.9			
SRR5305512_pass_1			77.5%	44%	36.1
SRR5305512_pass_2			75.2%	44%	36.1
SRR5305513_GSM2516842_transcripts_quant	85.8%	31.1			
SRR5305513_pass_1			48.1%	47%	36.3
SRR5305513_pass_2			47.1%	47%	36.3
SRR5305514_GSM2516843_transcripts_quant	88.4%	28.4			
SRR5305514_pass_1			65.3%	46%	32.1
SRR5305514_pass_2			63.7%	46%	32.1
SRR5305515_GSM2516844_transcripts_quant	86.8%	40.6			
SRR5305515_pass_1			69.4%	44%	46.7
SRR5305515_pass_2			67.1%	44%	46.7
SRR5305516_GSM2516845_transcripts_quant	90.6%	34.7			
SRR5305516_pass_1			79.5%	45%	38.3
SRR5305516_pass_2			77.3%	45%	38.3
SRR5305517_GSM2516846_transcripts_quant	85.6%	27.5			
SRR5305517_pass_1			48.6%	47%	32.2
SRR5305517_pass_2			46.7%	47%	32.2
SRR5305518_GSM2516847_transcripts_quant	85.5%	32.5			
SRR5305518_pass_1			54.2%	46%	38.0
SRR5305518_pass_2			53.2%	46%	38.0
SRR5305519_GSM2516848_transcripts_quant	87.7%	20.4			
SRR5305519_pass_1			57.5%	46%	23.3
SRR5305519_pass_2			56.7%	46%	23.3
SRR5305520_GSM2516849_transcripts_quant	84.6%	35.2			
SRR5305520_pass_1			64.2%	47%	41.6
SRR5305520_pass_2			61.4%	47%	41.6
SRR5305521_GSM2516850_transcripts_quant	86.6%	34.7			
SRR5305521_pass_1			63.4%	45%	40.0
SRR5305521_pass_2			62.4%	45%	40.0
SRR5305522_GSM2516851_transcripts_quant	86.0%	22.5			
SRR5305522_pass_1			50.2%	47%	26.2
SRR5305522_pass_2			48.5%	47%	26.2
SRR5305523_GSM2516852_transcripts_quant	86.4%	32.3			
SRR5305523_pass_1			57.5%	47%	37.4
SRR5305523_pass_2			54.9%	47%	37.4
SRR5305524_GSM2516853_transcripts_quant	85.5%	36.7			
SRR5305524_pass_1			60.2%	46%	42.9
SRR5305524_pass_2			57.9%	46%	42.9
SRR5305525_GSM2516854_transcripts_quant	87.0%	46.0			
SRR5305525_pass_1			68.2%	43%	52.9
SRR5305525_pass_2			65.3%	43%	52.9
SRR5305526_GSM2516855_transcripts_quant	83.8%	31.9			
SRR5305526_pass_1			50.6%	46%	38.1
SRR5305526_pass_2			48.3%	46%	38.1
SRR5305527_GSM2516856_transcripts_quant	85.4%	20.7			
SRR5305527_pass_1			53.7%	45%	24.2
SRR5305527_pass_2			52.2%	45%	24.2
SRR5305528_GSM2516857_transcripts_quant	82.8%	26.6			
SRR5305528_pass_1			47.3%	46%	32.1
SRR5305528_pass_2			45.1%	46%	32.1
SRR5305529_GSM2516858_transcripts_quant	76.4%	19.4			
SRR5305529_pass_1			79.3%	43%	25.4
SRR5305529_pass_2			72.2%	43%	25.4
SRR5305530_GSM2516859_transcripts_quant	84.6%	22.0			
SRR5305530_pass_1			45.9%	47%	26.0
SRR5305530_pass_2			43.9%	47%	26.0
SRR5305531_GSM2516860_transcripts_quant	86.2%	31.5			
SRR5305531_pass_1			84.2%	44%	36.5
SRR5305531_pass_2			81.6%	44%	36.5
SRR5305532_GSM2516861_transcripts_quant	86.9%	29.9			
SRR5305532_pass_1			49.4%	47%	34.4
SRR5305532_pass_2			48.3%	47%	34.4
SRR5305533_GSM2516862_transcripts_quant	84.0%	26.3			
SRR5305533_pass_1			48.7%	45%	31.3
SRR5305533_pass_2			46.8%	45%	31.3
SRR5305534_GSM2516863_transcripts_quant	85.8%	32.2			
SRR5305534_pass_1			54.3%	47%	37.5
SRR5305534_pass_2			51.9%	47%	37.5
