Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR10248404_GSM4114296_transcripts_quant	43.9%	24.0			
SRR10248404_pass_1			55.8%	45%	54.6
SRR10248404_pass_2			42.7%	44%	54.6
SRR10248405_GSM4114297_transcripts_quant	43.9%	25.7			
SRR10248405_pass_1			57.0%	44%	58.6
SRR10248405_pass_2			44.8%	44%	58.6
SRR10248406_GSM4114298_transcripts_quant	40.1%	34.0			
SRR10248406_pass_1			62.7%	46%	84.8
SRR10248406_pass_2			51.3%	46%	84.8
SRR10248407_GSM4114299_transcripts_quant	41.0%	31.6			
SRR10248407_pass_1			64.0%	44%	77.0
SRR10248407_pass_2			49.9%	44%	77.0
SRR10248408_GSM4114300_transcripts_quant	48.9%	32.7			
SRR10248408_pass_1			68.8%	45%	66.9
SRR10248408_pass_2			57.2%	45%	66.9
SRR10248409_GSM4114301_transcripts_quant	52.4%	26.5			
SRR10248409_pass_1			73.1%	46%	50.5
SRR10248409_pass_2			62.9%	48%	50.5
SRR10248410_GSM4114302_transcripts_quant	46.2%	35.0			
SRR10248410_pass_1			61.1%	46%	75.9
SRR10248410_pass_2			48.5%	45%	75.9
SRR10248411_GSM4114303_transcripts_quant	54.0%	17.7			
SRR10248411_pass_1			55.0%	47%	32.8
SRR10248411_pass_2			41.0%	46%	32.8
SRR10248412_GSM4114304_transcripts_quant	56.4%	18.0			
SRR10248412_pass_1			63.5%	45%	31.9
SRR10248412_pass_2			51.6%	44%	31.9
SRR10248413_GSM4114305_transcripts_quant	44.0%	13.1			
SRR10248413_pass_1			63.2%	43%	29.8
SRR10248413_pass_2			49.8%	41%	29.8
SRR10248414_GSM4114306_transcripts_quant	51.6%	21.9			
SRR10248414_pass_1			69.1%	52%	42.5
SRR10248414_pass_2			60.4%	52%	42.5
SRR10248415_GSM4114307_transcripts_quant	44.5%	86.0			
SRR10248415_pass_1			76.9%	45%	193.3
SRR10248415_pass_2			63.6%	44%	193.3
SRR10248416_GSM4114308_transcripts_quant	45.2%	21.0			
SRR10248416_pass_1			64.6%	42%	46.5
SRR10248416_pass_2			49.0%	41%	46.5
SRR10248417_GSM4114309_transcripts_quant	43.5%	8.0			
SRR10248417_pass_1			62.5%	47%	18.4
SRR10248417_pass_2			55.9%	46%	18.4
SRR10248418_GSM4114310_transcripts_quant	67.0%	24.2			
SRR10248418_pass_1			67.7%	50%	36.2
SRR10248418_pass_2			56.8%	51%	36.2
SRR10248419_GSM4114311_transcripts_quant	47.6%	9.4			
SRR10248419_pass_1			48.4%	47%	19.7
SRR10248419_pass_2			38.4%	47%	19.7
SRR10248420_GSM4114312_transcripts_quant	53.4%	11.0			
SRR10248420_pass_1			48.5%	49%	20.6
SRR10248420_pass_2			37.9%	48%	20.6
SRR10248421_GSM4114313_transcripts_quant	48.9%	11.6			
SRR10248421_pass_1			46.3%	46%	23.7
SRR10248421_pass_2			31.6%	45%	23.7
SRR10248422_GSM4114314_transcripts_quant	48.0%	21.2			
SRR10248422_pass_1			57.5%	48%	44.1
SRR10248422_pass_2			45.0%	47%	44.1
SRR10248423_GSM4114315_transcripts_quant	51.9%	43.1			
SRR10248423_pass_1			74.8%	49%	83.2
SRR10248423_pass_2			65.4%	48%	83.2
SRR10248424_GSM4114316_transcripts_quant	10.6%	0.0			
SRR10248424_pass_1			76.7%	61%	0.3
SRR10248424_pass_2			67.8%	70%	0.3
SRR10248425_GSM4114317_transcripts_quant	39.3%	15.7			
SRR10248425_pass_1			59.2%	46%	39.9
SRR10248425_pass_2			46.4%	45%	39.9
SRR10248426_GSM4114318_transcripts_quant	47.1%	18.8			
SRR10248426_pass_1			56.0%	47%	39.9
SRR10248426_pass_2			38.6%	46%	39.9
SRR10248427_GSM4114319_transcripts_quant	45.3%	22.9			
SRR10248427_pass_1			63.5%	49%	50.5
SRR10248427_pass_2			51.4%	49%	50.5
SRR10248428_GSM4114320_transcripts_quant	58.3%	40.6			
SRR10248428_pass_1			66.6%	47%	69.7
SRR10248428_pass_2			53.5%	47%	69.7
SRR10248429_GSM4114321_transcripts_quant	42.7%	16.1			
SRR10248429_pass_1			57.9%	47%	37.8
SRR10248429_pass_2			41.7%	47%	37.8
SRR10248430_GSM4114322_transcripts_quant	31.2%	21.9			
SRR10248430_pass_1			95.3%	57%	70.0
SRR10248430_pass_2			92.6%	58%	70.0
SRR10248431_GSM4114323_transcripts_quant	47.8%	19.5			
SRR10248431_pass_1			63.6%	43%	40.9
SRR10248431_pass_2			49.6%	42%	40.9
SRR10248432_GSM4114324_transcripts_quant	34.2%	18.9			
SRR10248432_pass_1			95.8%	51%	55.3
SRR10248432_pass_2			86.9%	55%	55.3
SRR10248433_GSM4114325_transcripts_quant	46.7%	27.6			
SRR10248433_pass_1			60.6%	47%	59.1
SRR10248433_pass_2			46.3%	46%	59.1
SRR10248434_GSM4114326_transcripts_quant	70.7%	38.5			
SRR10248434_pass_1			83.4%	50%	54.4
SRR10248434_pass_2			77.1%	49%	54.4
SRR10248435_GSM4114327_transcripts_quant	27.4%	28.1			
SRR10248435_pass_1			93.1%	62%	102.4
SRR10248435_pass_2			84.1%	66%	102.4
SRR10248436_GSM4114328_transcripts_quant	50.6%	27.6			
SRR10248436_pass_1			64.0%	45%	54.5
SRR10248436_pass_2			49.8%	44%	54.5
SRR10248437_GSM4114329_transcripts_quant	48.1%	28.5			
